ppTime.la,ppTime.ab,ppTime.bo,ppTime.or,ppTime.ra,ppTime.at,ppTime.to,ppTime.oi,ppTime.ir,ppTime.re,ppTime.eg,ppTime.gr,ppTime.re,ppTime.ey,ppTime.yc,prTime.la,prTime.ab,prTime.bo,prTime.or,prTime.ra,prTime.at,prTime.to,prTime.oi,prTime.ir,prTime.re,prTime.eg,prTime.gr,prTime.re,prTime.ey,prTime.yc,rpTime.la,rpTime.ab,rpTime.bo,rpTime.or,rpTime.ra,rpTime.at,rpTime.to,rpTime.oi,rpTime.ir,rpTime.re,rpTime.eg,rpTime.gr,rpTime.re,rpTime.ey,rpTime.yc,rrTime.la,rrTime.ab,rrTime.bo,rrTime.or,rrTime.ra,rrTime.at,rrTime.to,rrTime.oi,rrTime.ir,rrTime.re,rrTime.eg,rrTime.gr,rrTime.re,rrTime.ey,rrTime.yc,subject,time_to_type
2103024,1902736,901296,1502160,901296,3104464,1402016,1702448,5908496,1802592,1502160,2103024,2904176,3304752,1902736,3004320,2804032,1702448,2703888,2103024,4005760,2603744,2403456,6609504,2804032,2403456,3605184,3605184,4506480,2904176,1001440,1001440,0,701008,-300432,1902736,500720,500720,5207488,1101584,500720,1201728,1402016,2603744,701008,1902736,1902736,801152,1902736,901296,2804032,1702448,1201728,5908496,2103024,1402016,2703888,2103024,3805472,1702448,2,36252128
2203168,1802592,1502160,1001440,701008,3404896,1201728,1702448,2603744,1902736,2002880,4005760,2403456,3004320,1502160,2904176,2703888,2103024,2203168,2103024,4105904,2503600,2303312,3404896,3104464,3104464,5107344,3104464,4105904,2103024,1101584,1101584,600864,400576,-500720,2002880,500720,400576,2002880,1101584,801152,2904176,1301872,2303312,400576,1802592,2002880,1201728,1602304,901296,2703888,1802592,1001440,2804032,2303312,1902736,4005760,2002880,3404896,1001440,2,34048960
2203168,2103024,1201728,1602304,801152,2603744,1702448,1602304,2403456,901296,1502160,2002880,2002880,1101584,2403456,3104464,3104464,1702448,2603744,2002880,3304752,2804032,2303312,3104464,2103024,2403456,3505040,2703888,2103024,3204608,1201728,1201728,200288,1101584,-200288,1402016,1001440,500720,1702448,200288,300432,1101584,500720,400576,1402016,2103024,2203168,701008,2103024,1001440,2103024,2103024,1201728,2403456,1402016,1201728,2603744,1201728,1402016,2203168,2,29242048
2203168,1802592,1301872,1702448,801152,2703888,1402016,1602304,2603744,901296,1101584,2403456,1602304,1702448,1902736,3004320,2703888,1902736,2804032,2002880,3404896,2703888,2303312,3304752,2002880,1902736,3505040,2303312,2904176,2503600,1201728,1001440,400576,1101584,-300432,1502160,701008,300432,1902736,200288,0,1602304,500720,1001440,701008,2002880,1902736,1001440,2203168,901296,2203168,2002880,1001440,2603744,1301872,801152,2703888,1201728,2203168,1301872,2,29041760
2303312,1902736,1001440,1902736,701008,3104464,901296,2203168,2303312,1001440,1101584,2403456,2203168,1802592,2002880,3004320,2703888,1702448,3104464,1902736,3805472,2103024,2703888,3004320,1902736,2103024,3605184,3104464,3004320,2703888,1301872,1201728,200288,1201728,-500720,1902736,200288,1001440,1802592,300432,200288,1402016,1001440,901296,801152,2002880,2002880,901296,2403456,701008,2603744,1402016,1502160,2503600,1201728,1201728,2603744,1902736,2103024,1502160,2,29642624
2103024,1702448,1602304,1402016,801152,2703888,1001440,1802592,2303312,1001440,1402016,1902736,2002880,1001440,2103024,2804032,2703888,2103024,2503600,2103024,3404896,2303312,2403456,2904176,2103024,2403456,3004320,2804032,2303312,2703888,1201728,1001440,600864,901296,-300432,1402016,300432,500720,1702448,400576,300432,901296,901296,200288,801152,1902736,2002880,1101584,2002880,1001440,2103024,1602304,1101584,2303312,1502160,1301872,2002880,1702448,1502160,1402016,2,27739888
2002880,2103024,1402016,1602304,801152,2603744,1201728,1802592,2403456,1001440,1201728,2503600,2403456,1201728,2103024,2904176,2804032,1802592,2804032,2203168,3304752,2103024,2603744,3104464,2203168,2403456,4005760,3204608,2403456,2603744,1201728,1201728,701008,1201728,-400576,1201728,500720,901296,1602304,300432,0,1301872,901296,400576,901296,2103024,1902736,1101584,2403456,1001440,1902736,1402016,1702448,2303312,1502160,1201728,2804032,1702448,1602304,1402016,2,29242048
2103024,1802592,1602304,1301872,901296,2503600,1201728,1502160,2403456,1001440,1101584,2403456,1402016,1402016,1902736,2804032,2703888,2002880,2603744,2203168,3204608,2403456,2103024,3004320,2103024,2103024,3505040,2303312,2503600,2403456,1101584,1101584,701008,901296,-400576,1201728,500720,300432,1802592,400576,0,1402016,300432,500720,801152,1802592,2002880,1101584,2203168,901296,1902736,1702448,901296,2403456,1502160,1001440,2503600,1201728,1602304,1301872,2,27439456
2203168,1902736,1201728,1602304,701008,2703888,1101584,1702448,2603744,901296,1201728,2703888,1802592,1502160,1902736,2904176,2904176,1902736,2804032,1902736,3605184,2303312,2403456,3304752,1902736,2203168,3805472,2503600,2603744,2603744,1201728,1201728,200288,901296,-500720,1502160,200288,500720,1902736,200288,200288,1702448,701008,801152,801152,1902736,2203168,901296,2103024,701008,2403456,1402016,1201728,2603744,1201728,1201728,2804032,1402016,1902736,1502160,2,28741328
2103024,1702448,1301872,1402016,801152,2503600,1001440,1502160,2103024,901296,1301872,2002880,1602304,1201728,1702448,2804032,2503600,1902736,2603744,2002880,3104464,2203168,2002880,2804032,1902736,2203168,3104464,2203168,2303312,2303312,1101584,1001440,500720,801152,-400576,1301872,400576,300432,1602304,200288,300432,1101584,500720,600864,600864,1802592,1802592,1101584,2002880,801152,1902736,1602304,801152,2303312,1201728,1201728,2203168,1101584,1702448,1201728,2,26037440
1902736,1902736,1602304,1201728,801152,3004320,1001440,1902736,2103024,1001440,1301872,2203168,1902736,1502160,1802592,2603744,2804032,2403456,2403456,2203168,3705328,2203168,2603744,2804032,2103024,2303312,3605184,2904176,2603744,2303312,1201728,1201728,701008,400576,-400576,1602304,300432,701008,1402016,300432,200288,1201728,500720,500720,701008,1902736,2103024,1502160,1602304,1001440,2303312,1502160,1402016,2103024,1402016,1201728,2603744,1502160,1602304,1201728,2,28040320
2203168,3705328,5507920,4206048,3204608,2804032,2904176,11216128,1602304,2503600,4406336,3605184,3605184,4005760,3204608,3505040,5507920,6809792,5207488,4206048,3905616,4005760,11917136,2603744,3204608,5307632,4606624,4806912,5007200,4105904,901296,2403456,3705328,2904176,2203168,1802592,1802592,10114544,901296,1502160,3705328,2703888,2603744,2804032,2203168,2203168,4206048,5007200,3905616,3204608,2904176,2904176,10815552,1902736,2203168,4606624,3705328,3805472,3805472,3104464,3,90329888
1802592,7811232,8612384,4005760,1602304,2403456,1602304,10014400,2203168,2103024,4005760,2804032,2904176,3104464,3104464,3204608,9012960,9313392,4907056,2804032,3605184,2603744,10715408,3404896,2503600,5007200,4005760,4105904,4105904,4206048,200288,6409216,7410656,3304752,701008,1201728,400576,9012960,1502160,901296,3605184,1802592,1702448,1902736,2103024,1602304,7610944,8111664,4206048,1902736,2403456,1402016,9713968,2703888,1301872,4606624,3004320,2904176,2904176,3204608,3,64893312
3605184,3805472,2303312,4406336,3605184,3304752,3505040,3705328,2002880,2203168,4005760,4005760,1902736,2804032,2904176,4606624,4706768,3605184,5507920,4706768,4506480,4506480,4506480,3104464,2603744,5007200,4806912,3104464,3705328,3805472,2403456,2804032,1402016,3104464,2503600,2203168,2303312,2703888,1201728,1101584,3605184,3004320,1101584,1602304,2002880,3404896,3705328,2703888,4206048,3605184,3404896,3304752,3505040,2303312,1502160,4606624,3805472,2303312,2503600,2904176,3,57182224
2603744,8512240,2603744,3605184,4907056,11216128,8211808,4105904,3805472,2804032,2804032,3404896,5407776,3404896,4005760,3805472,9513680,3805472,4806912,6108784,12217568,9413536,5307632,5007200,4005760,4005760,4606624,6409216,4306192,4907056,1201728,7310512,1602304,2403456,3705328,10014400,7210368,2904176,2603744,1602304,1602304,2203168,4206048,2403456,3104464,2403456,8311952,2804032,3605184,4907056,11015840,8412096,4105904,3805472,2804032,2804032,3404896,5207488,3304752,4005760,3,76810448
1802592,2603744,3104464,1502160,2403456,4206048,2904176,24835712,4406336,2603744,2503600,4306192,2703888,3004320,3505040,3304752,3805472,4105904,2203168,3505040,5307632,3905616,25636864,5307632,3905616,3605184,5708208,4206048,4005760,4506480,400576,1101584,1902736,500720,1702448,3104464,1802592,23834272,3605184,1702448,1201728,3204608,1301872,1502160,2503600,1902736,2303312,2904176,1201728,2804032,4206048,2804032,24635424,4506480,3004320,2303312,4606624,2804032,2503600,3505040,3,75007856
1602304,2403456,3805472,1702448,1902736,2904176,1502160,5107344,1602304,2103024,2002880,1802592,2103024,3204608,4005760,3505040,3905616,5007200,2603744,3104464,3705328,2503600,6008640,2804032,3605184,2904176,3004320,3104464,4105904,4706768,0,500720,2303312,500720,1001440,1702448,701008,4105904,701008,901296,500720,901296,901296,2203168,3104464,1902736,2002880,3505040,1402016,2203168,2503600,1702448,5007200,1902736,2403456,1402016,2103024,1902736,3104464,3805472,3,43362352
5007200,2503600,2303312,1301872,2103024,2002880,1802592,3705328,2403456,2603744,5407776,3404896,1602304,1802592,2804032,6409216,3404896,3404896,2303312,3304752,3104464,2904176,4806912,3505040,3605184,6709648,4406336,2904176,2904176,3805472,3605184,1101584,1402016,200288,1101584,801152,701008,2603744,1301872,1502160,4406336,2103024,600864,500720,1702448,5007200,2002880,2503600,1201728,2303312,1902736,1802592,3705328,2403456,2503600,5708208,3104464,1902736,1602304,2703888,3,48469696
1902736,1502160,3304752,1201728,4706768,3304752,2203168,3304752,2403456,1602304,2103024,2603744,2603744,2603744,3905616,3605184,2904176,4206048,2103024,5608064,4306192,3304752,4206048,3505040,3004320,3304752,3805472,4005760,3605184,4706768,-300432,-200288,1902736,300432,3805472,2403456,1201728,2203168,1502160,500720,701008,1402016,1402016,1201728,2904176,1402016,1201728,2804032,1201728,4706768,3404896,2303312,3104464,2603744,1902736,1902736,2603744,2804032,2203168,3705328,3,43963216
1502160,1402016,3004320,1702448,2002880,1802592,3104464,5107344,3605184,1702448,1802592,3004320,1902736,2303312,5107344,2904176,2503600,4005760,2503600,3004320,2804032,4306192,6208928,4706768,2804032,2804032,4306192,3304752,3304752,6008640,-600864,0,1902736,701008,1201728,801152,2103024,3905616,2503600,600864,701008,2002880,600864,901296,4105904,801152,1101584,2904176,1502160,2203168,1802592,3304752,5007200,3605184,1702448,1702448,3304752,2002880,1902736,5007200,3,47267968
1602304,1201728,4306192,1402016,2103024,3104464,1402016,3304752,1902736,1902736,1602304,2203168,1902736,1902736,5007200,3505040,3104464,5207488,2403456,3004320,3805472,2603744,4306192,3104464,3404896,2804032,3404896,3104464,2804032,5708208,-500720,-701008,2403456,500720,1101584,2203168,701008,2103024,901296,701008,100144,1001440,701008,701008,4105904,1402016,1201728,3304752,1502160,2002880,2904176,1902736,3104464,2103024,2203168,1301872,2203168,1902736,1602304,4806912,3,39757168
1802592,1402016,2703888,1402016,2002880,3004320,2904176,4606624,2303312,2303312,3505040,3004320,2703888,2403456,3004320,3304752,2503600,3605184,2503600,3104464,4005760,4005760,5507920,3505040,3204608,4506480,4105904,4206048,3404896,3805472,-500720,-100144,1602304,500720,901296,1902736,1902736,3505040,1402016,1101584,2603744,2002880,1602304,901296,2002880,1001440,1001440,2503600,1602304,2002880,2904176,3004320,4406336,2603744,2002880,3605184,3104464,3104464,1902736,2804032,3,58484096
1902736,1802592,3004320,1602304,10615264,2603744,3004320,4005760,2503600,2403456,2403456,3204608,2303312,2603744,3404896,3404896,3004320,4306192,2303312,11616704,3705328,4306192,5007200,3605184,3204608,3805472,4306192,3204608,3805472,4306192,0,300432,1802592,300432,9914256,1602304,1902736,2703888,1502160,1301872,1602304,1802592,1201728,1702448,2203168,1502160,1502160,3104464,1001440,10915696,2703888,3204608,3705328,2603744,2103024,3004320,2904176,2103024,2904176,3104464,3,54077760
1902736,1402016,3805472,1702448,3004320,3104464,2203168,3204608,2904176,2303312,2403456,2403456,4706768,2904176,2804032,3605184,2904176,5007200,2403456,4005760,4306192,3404896,4406336,4105904,3505040,3404896,3905616,5908496,3905616,3805472,-500720,-300432,2303312,500720,2303312,2103024,1001440,2002880,1702448,1101584,1201728,1402016,3204608,1702448,1802592,1201728,1201728,3505040,1201728,3304752,3304752,2203168,3204608,2904176,2303312,2203168,2904176,4406336,2703888,2804032,3,45565520
2002880,1502160,3805472,1802592,3004320,2804032,1902736,3404896,2103024,1802592,2203168,2403456,2603744,2603744,3004320,3505040,2804032,5107344,2703888,3905616,4005760,3004320,4306192,3304752,3004320,3204608,3505040,4005760,3605184,3905616,-1101584,0,2503600,500720,2103024,1902736,701008,2303312,1201728,600864,1001440,1402016,1502160,1201728,2002880,400576,1301872,3805472,1402016,3004320,3104464,1802592,3204608,2403456,1802592,2002880,2503600,2904176,2203168,2904176,3,41960336
1001440,14721168,4806912,1902736,1602304,3104464,1602304,1402016,1602304,1902736,1201728,2002880,3204608,2503600,1502160,2804032,15422176,5507920,2503600,2403456,3805472,2203168,2002880,2303312,3705328,2603744,2804032,3905616,3104464,2103024,-1201728,12918576,4105904,1201728,1001440,2303312,901296,801152,1001440,1201728,-600864,600864,2403456,1802592,901296,600864,13619584,4806912,1802592,1802592,3004320,1502160,1402016,1702448,3004320,801152,1402016,3104464,2403456,1502160,4,47668544
